Sample ID
ccRCC-060-01-1A
ccRCC-060-02-1A
ccRCC-060-03-1A
ccRCC-060-04-1A
ccRCC-060-05-1A
ccRCC-060-06-1A
ccRCC-060-07-1A
ccRCC-061-01-1A
ccRCC-061-02-1A
ccRCC-061-03-1A
ccRCC-061-04-1A
ccRCC-061-05-1A
ccRCC-061-06-1A
ccRCC-061-07-1A
ccRCC-061-08-1A
ccRCC-061-09-1A
ccRCC-061-10-1A
ccRCC-061-11-1A
ccRCC-061-12-1A
ccRCC-061-13-1A
ccRCC-061-14-1A
ccRCC-061-15-1A
ccRCC-118-01-1A
ccRCC-118-02-1A
ccRCC-118-03-1A
ccRCC-118-04-1A
ccRCC-118-05-1A
ccRCC-118-06-1A
ccRCC-118-07-1A
ccRCC-118-08-1A
