Sample ID
ccRCC-060-08-1A
ccRCC-060-09-1A
ccRCC-061-16-1A
ccRCC-061-17-1A
ccRCC-061-18-1A
ccRCC-061-19-1A
ccRCC-061-20-1A
ccRCC-061-21-1A
ccRCC-061-22-1A
ccRCC-061-23-1A
ccRCC-061-24-1A
ccRCC-118-09-1A
ccRCC-118-10-1A
ccRCC-118-11-1A
ccRCC-118-12-1A
ccRCC-118-13-1A
ccRCC-118-14-1A
ccRCC-118-15-1A
ccRCC-118-16-1A
