Accession_Number
BRCA-030-01-1A
BRCA-030-02-1A
BRCA-030-03-1A
BRCA-030-04-1A
BRCA-030-05-1A
BRCA-030-06-1A
BRCA-030-07-1A
BRCA-030-08-1A
BRCA-030-09-1A
BRCA-030-10-1A
BRCA-030-11-1A
BRCA-030-12-1A
BRCA-030-13-1A
BRCA-030-14-1A
BRCA-030-15-1A
BRCA-030-16-1A
BRCA-030-17-1A
BRCA-030-18-1A
BRCA-071-03-1A
BRCA-071-06-1A
BRCA-071-09-1A
BRCA-071-12-1A
BRCA-107-01-1A
BRCA-107-02-1A
BRCA-107-03-1A
BRCA-107-04-1A
BRCA-107-05-1A
BRCA-107-06-1A
BRCA-107-07-1A
BRCA-107-08-1A
BRCA-107-09-1A
BRCA-107-10-1A
BRCA-107-11-1A
BRCA-107-12-1A
BRCA-107-13-1A
BRCA-107-14-1A
BRCA-128-01-1A
BRCA-128-02-1A
BRCA-128-03-1A
BRCA-128-04-1A
BRCA-128-05-1A
BRCA-128-06-1A
BRCA-128-07-1A
BRCA-128-08-1A
BRCA-134-01-1A
BRCA-134-02-1A
BRCA-134-03-1A
