Sample ID
BRCA-071-01-1A
BRCA-071-02-1A
BRCA-071-05-1A
BRCA-071-08-1A
BRCA-071-11-1A
BRCA-071-14-1A
BRCA-071-15-1A
BRCA-071-16-1A
BRCA-071-17-1A
